3.0,(-10771.641+8685.681j),(-641.902+521.961j),5.76
3.01,(-10728.186+8621.92j),(-639.291+518.13j),5.76
3.02,(-10684.937+8558.746j),(-636.692+514.333j),5.76
3.03,(-10641.894+8496.154j),(-634.105+510.572j),5.76
3.04,(-10599.055+8434.136j),(-631.531+506.845j),5.76
3.05,(-10556.42+8372.686j),(-628.969+503.152j),5.76
3.06,(-10513.988+8311.798j),(-626.419+499.493j),5.76
3.07,(-10471.759+8251.467j),(-623.881+495.867j),5.76
3.08,(-10429.731+8191.685j),(-621.355+492.275j),5.76
3.09,(-10387.904+8132.448j),(-618.842+488.715j),5.76
3.1,(-10346.277+8073.748j),(-616.34+485.188j),5.76
3.11,(-10304.849+8015.581j),(-613.85+481.692j),5.76
3.12,(-10263.619+7957.941j),(-611.373+478.228j),5.76
3.13,(-10222.588+7900.821j),(-608.907+474.796j),5.76
3.14,(-10181.753+7844.217j),(-606.453+471.394j),5.76
3.15,(-10141.114+7788.123j),(-604.011+468.023j),5.76
3.16,(-10100.67+7732.533j),(-601.58+464.682j),5.76
3.17,(-10060.421+7677.442j),(-599.162+461.372j),5.76
3.18,(-10020.365+7622.845j),(-596.755+458.091j),5.76
3.19,(-9980.503+7568.736j),(-594.359+454.839j),5.76
3.2,(-9940.832+7515.111j),(-591.975+451.617j),5.76
3.21,(-9901.353+7461.964j),(-589.603+448.423j),5.76
3.22,(-9862.064+7409.29j),(-587.242+445.257j),5.76
3.23,(-9822.964+7357.084j),(-584.892+442.12j),5.76
3.24,(-9784.054+7305.341j),(-582.554+439.011j),5.76
3.25,(-9745.331+7254.057j),(-580.227+435.929j),5.76
3.26,(-9706.796+7203.226j),(-577.911+432.874j),5.76
3.27,(-9668.447+7152.843j),(-575.606+429.846j),5.76
3.28,(-9630.284+7102.905j),(-573.313+426.845j),5.76
3.29,(-9592.305+7053.406j),(-571.031+423.871j),5.76
3.3,(-9554.511+7004.342j),(-568.759+420.922j),5.76
3.31,(-9516.899+6955.708j),(-566.499+418j),5.76
3.32,(-9479.47+6907.499j),(-564.25+415.102j),5.76
3.33,(-9442.222+6859.713j),(-562.011+412.231j),5.76
3.34,(-9405.155+6812.343j),(-559.784+409.384j),5.76
3.35,(-9368.268+6765.385j),(-557.567+406.562j),5.76
3.36,(-9331.56+6718.836j),(-555.361+403.765j),5.76
3.37,(-9295.03+6672.691j),(-553.166+400.992j),5.76
3.38,(-9258.678+6626.946j),(-550.981+398.243j),5.76
3.39,(-9222.502+6581.597j),(-548.807+395.518j),5.76
3.4,(-9186.502+6536.64j),(-546.644+392.816j),5.76
3.41,(-9150.677+6492.07j),(-544.491+390.137j),5.76
3.42,(-9115.026+6447.884j),(-542.349+387.482j),5.76
3.43,(-9079.548+6404.078j),(-540.217+384.85j),5.76
3.44,(-9044.243+6360.648j),(-538.095+382.24j),5.76
3.45,(-9009.11+6317.59j),(-535.984+379.652j),5.76
3.46,(-8974.148+6274.901j),(-533.883+377.087j),5.76
3.47,(-8939.356+6232.576j),(-531.792+374.543j),5.76
3.48,(-8904.733+6190.612j),(-529.711+372.021j),5.76
3.49,(-8870.278+6149.005j),(-527.641+369.521j),5.76
3.5,(-8835.992+6107.751j),(-525.58+367.042j),5.76
3.51,(-8801.872+6066.848j),(-523.53+364.584j),5.76
3.52,(-8767.918+6026.291j),(-521.489+362.147j),5.76
3.53,(-8734.13+5986.077j),(-519.459+359.73j),5.76
3.54,(-8700.506+5946.203j),(-517.438+357.334j),5.76
3.55,(-8667.046+5906.665j),(-515.428+354.958j),5.76
3.56,(-8633.748+5867.46j),(-513.427+352.602j),5.76
3.57,(-8600.613+5828.584j),(-511.435+350.266j),5.76
3.58,(-8567.639+5790.034j),(-509.454+347.949j),5.76
3.59,(-8534.826+5751.807j),(-507.482+345.652j),5.76
3.6,(-8502.172+5713.899j),(-505.52+343.374j),5.76
3.61,(-8469.677+5676.309j),(-503.567+341.115j),5.76
3.62,(-8437.341+5639.031j),(-501.624+338.875j),5.76
3.63,(-8405.162+5602.064j),(-499.69+336.653j),5.76
